epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.228,2.51048,3.26423,2.38732,0.44305,0.25963,0.27432,0.12502,1.95437,2.30744,2.14535,0.000659574,0.000659574,0.000659574
2,862.528,2.10393,2.2389,2.06413,0.45321,0.25659,0.24328,0.11395,2.00152,2.80582,2.20605,0.00128248,0.00128248,0.00128248
3,1287.14,2.03446,2.08994,1.98106,0.69699,0.26876,0.29419,0.15498,1.93622,2.69503,2.1891,0.00186138,0.00186138,0.00186138
4,1716.75,1.98721,2.0164,1.9142,0.45037,0.27789,0.27222,0.15384,1.88417,2.68707,2.13467,0.001802,0.001802,0.001802
5,4779.61,1.91954,1.93169,1.86107,0.47544,0.28398,0.29592,0.17512,1.85407,2.70885,2.06116,0.001736,0.001736,0.001736
6,5180.32,1.89799,1.89086,1.83891,0.50433,0.26933,0.27575,0.16678,1.82284,2.70392,2.08783,0.00167,0.00167,0.00167
7,5461.7,1.86813,1.88498,1.81144,0.4219,0.28195,0.25996,0.16331,1.79839,2.68314,2.07564,0.001604,0.001604,0.001604
8,5740.48,1.85727,1.84147,1.81066,0.40283,0.34381,0.25883,0.15036,1.82342,2.62753,2.08791,0.001538,0.001538,0.001538
9,6020.81,1.84514,1.81484,1.76739,0.39638,0.33469,0.29155,0.17457,1.8254,2.63709,2.09194,0.001472,0.001472,0.001472
10,6312.1,1.8148,1.78685,1.75106,0.45304,0.28499,0.25894,0.16436,1.76689,2.68979,2.03119,0.001406,0.001406,0.001406
11,6611.76,1.77867,1.77028,1.72222,0.43164,0.31846,0.29008,0.18432,1.73411,2.4961,2.03158,0.00134,0.00134,0.00134
12,6916.07,1.78637,1.74141,1.73882,0.46835,0.29412,0.27904,0.17936,1.76726,2.54966,2.0345,0.001274,0.001274,0.001274
13,7221.75,1.77763,1.74524,1.70488,0.45646,0.30662,0.29768,0.1834,1.80265,2.47335,2.07503,0.001208,0.001208,0.001208
14,7528.07,1.74593,1.69055,1.69129,0.45223,0.3144,0.2889,0.18136,1.76081,2.57892,2.04491,0.001142,0.001142,0.001142
15,7835.17,1.73862,1.69542,1.6821,0.46866,0.32026,0.29546,0.18904,1.70861,2.45653,2.00021,0.001076,0.001076,0.001076
16,8142.23,1.74286,1.6921,1.66796,0.4647,0.30527,0.28958,0.18594,1.69297,2.49398,1.98788,0.00101,0.00101,0.00101
17,8447.19,1.73674,1.65816,1.65726,0.60175,0.28398,0.3211,0.20721,1.6777,2.56134,1.98249,0.000944,0.000944,0.000944
18,8750.5,1.71703,1.64624,1.6427,0.57347,0.30832,0.32939,0.21954,1.6485,2.35991,1.95888,0.000878,0.000878,0.000878
19,9055.63,1.71353,1.65503,1.64333,0.49303,0.32556,0.31585,0.20753,1.64955,2.34035,1.95743,0.000812,0.000812,0.000812
20,9361.01,1.70654,1.61465,1.63095,0.46565,0.32252,0.29796,0.19576,1.67365,2.38544,1.95716,0.000746,0.000746,0.000746
21,9661.17,1.71881,1.6623,1.64809,0.46224,0.32342,0.3165,0.21307,1.61558,2.37028,1.90999,0.00068,0.00068,0.00068
22,9962.55,1.69787,1.615,1.637,0.4948,0.31744,0.29453,0.19687,1.60744,2.34428,1.92614,0.000614,0.000614,0.000614
23,10262.3,1.69131,1.58498,1.61608,0.48526,0.33063,0.32978,0.22253,1.59359,2.26392,1.91252,0.000548,0.000548,0.000548
24,10561.1,1.6667,1.57251,1.59822,0.51756,0.31444,0.33609,0.22689,1.61336,2.32455,1.91307,0.000482,0.000482,0.000482
25,10859,1.66412,1.56604,1.60124,0.53255,0.30426,0.31841,0.21822,1.57694,2.3356,1.89696,0.000416,0.000416,0.000416
26,11156.1,1.65228,1.54206,1.58673,0.54946,0.30303,0.32835,0.22632,1.56499,2.31687,1.87709,0.00035,0.00035,0.00035
27,11453.5,1.64745,1.5332,1.58288,0.57988,0.29817,0.33576,0.23168,1.58586,2.3486,1.89281,0.000284,0.000284,0.000284
28,11751.3,1.63904,1.53294,1.5814,0.61507,0.29817,0.34189,0.24019,1.57016,2.30569,1.87811,0.000218,0.000218,0.000218
29,12049.7,1.6137,1.5025,1.5621,0.60492,0.3073,0.34689,0.24254,1.56016,2.29304,1.87373,0.000152,0.000152,0.000152
30,12348.2,1.63282,1.51018,1.56069,0.63323,0.29209,0.34156,0.23658,1.55309,2.28925,1.86566,8.6e-05,8.6e-05,8.6e-05
