epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.245,2.19259,3.56472,0.01473,0.38011,0.20892,0.17927,0.10573,1.81525,3.69899,0.02758,0.000659574,0.000659574,0.000659574
2,612.487,1.94686,2.4661,0.01243,0.43319,0.31846,0.22826,0.13705,1.75411,3.0617,0.0269,0.00128248,0.00128248,0.00128248
3,942.617,1.95866,2.1675,0.01226,0.4643,0.33755,0.2913,0.18573,1.75882,2.80053,0.02676,0.00186138,0.00186138,0.00186138
4,1240.19,1.90164,2.01985,0.01189,0.50616,0.35294,0.33753,0.22495,1.75622,2.70128,0.02558,0.001802,0.001802,0.001802
5,1541.37,1.88427,1.91507,0.01153,0.47506,0.34077,0.30575,0.19514,1.74671,2.78946,0.025,0.001736,0.001736,0.001736
6,1838.4,1.87742,1.92023,0.01115,0.50809,0.35722,0.33818,0.22333,1.77785,2.66964,0.02489,0.00167,0.00167,0.00167
7,2135.67,1.8502,1.84414,0.01095,0.47564,0.37323,0.31305,0.21515,1.69472,2.79775,0.02308,0.001604,0.001604,0.001604
8,2430.86,1.83251,1.80524,0.01084,0.41352,0.37627,0.27654,0.17747,1.81357,2.97094,0.02743,0.001538,0.001538,0.001538
9,2725.45,1.83394,1.80201,0.01081,0.41705,0.37149,0.24565,0.16684,1.74736,2.76427,0.02474,0.001472,0.001472,0.001472
10,3020.1,1.80507,1.74459,0.01077,0.42498,0.36815,0.26054,0.17724,1.69806,2.79281,0.02356,0.001406,0.001406,0.001406
11,3316.13,1.80799,1.76402,0.01052,0.3911,0.36105,0.29785,0.20938,1.71364,2.85812,0.02344,0.00134,0.00134,0.00134
12,3615.15,1.78012,1.7128,0.01018,0.49232,0.3783,0.30901,0.22059,1.66007,2.96582,0.02221,0.001274,0.001274,0.001274
13,3915.39,1.75276,1.70109,0.01032,0.48477,0.34639,0.35141,0.24851,1.70429,2.85027,0.02354,0.001208,0.001208,0.001208
14,4250.57,1.76806,1.69902,0.01006,0.44909,0.36004,0.27391,0.1959,1.7276,2.85543,0.02348,0.001142,0.001142,0.001142
15,4572.21,1.77964,1.64,0.00982,0.47929,0.36004,0.34623,0.25185,1.71041,2.88487,0.02294,0.001076,0.001076,0.001076
16,4889.32,1.74974,1.61936,0.00988,0.45101,0.37424,0.29658,0.21623,1.69778,2.82238,0.02267,0.00101,0.00101,0.00101
17,5188.46,1.75717,1.62105,0.00964,0.48447,0.34883,0.32575,0.24085,1.68869,2.90604,0.02221,0.000944,0.000944,0.000944
18,5500.99,1.75119,1.64247,0.00954,0.54338,0.34584,0.33932,0.24705,1.69721,2.89608,0.02228,0.000878,0.000878,0.000878
19,5852.52,1.71096,1.60168,0.00945,0.4262,0.39452,0.32138,0.23836,1.6729,2.84526,0.02209,0.000812,0.000812,0.000812
20,6271.05,1.6981,1.56215,0.00942,0.48129,0.37736,0.3245,0.23997,1.66414,2.82069,0.02154,0.000746,0.000746,0.000746
21,6653.14,1.75375,1.62063,0.01073,0.58964,0.3499,0.37965,0.2781,1.70348,2.67024,0.02241,0.00068,0.00068,0.00068
22,6993.75,1.74496,1.54784,0.0105,0.50727,0.36613,0.35927,0.26364,1.67107,2.77093,0.02174,0.000614,0.000614,0.000614
23,7338.45,1.73295,1.52935,0.01027,0.47748,0.36793,0.32887,0.2451,1.66996,2.77099,0.02174,0.000548,0.000548,0.000548
24,7679.76,1.70908,1.49267,0.01004,0.53081,0.36602,0.34995,0.26527,1.63588,2.76498,0.02054,0.000482,0.000482,0.000482
25,8023.2,1.70337,1.48279,0.01006,0.50459,0.35598,0.3447,0.26468,1.62792,2.7367,0.0204,0.000416,0.000416,0.000416
26,8377.49,1.70411,1.47555,0.00986,0.47239,0.37931,0.35642,0.27002,1.65132,2.75722,0.0209,0.00035,0.00035,0.00035
27,8730.09,1.68253,1.46153,0.0096,0.51948,0.35414,0.35103,0.26957,1.62233,2.78176,0.02,0.000284,0.000284,0.000284
28,9023.11,1.6812,1.44493,0.0095,0.62974,0.33976,0.37329,0.2867,1.61764,2.76807,0.0198,0.000218,0.000218,0.000218
29,9313.34,1.66854,1.44772,0.00963,0.57326,0.34888,0.36656,0.28159,1.61609,2.77869,0.01971,0.000152,0.000152,0.000152
30,9605.49,1.67948,1.44564,0.00955,0.55695,0.35193,0.36453,0.28117,1.61503,2.7911,0.01978,8.6e-05,8.6e-05,8.6e-05
