epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.875,0.9839285612106323,1.0,0.0653931200504303,0.9958332777023315,0.9583333134651184,0.9937500357627869,1.0,0.1188528910279274,0.9937500357627869
1,0.886904776096344,0.9833332896232605,0.9940476417541504,0.06057412549853325,0.9958332777023315,0.9375,0.9916666150093079,1.0,0.1188443973660469,0.9937500357627869
2,0.9226190447807312,0.985714316368103,0.9940476417541504,0.05179492384195328,0.9946427941322327,0.9166666865348816,0.9895833134651184,1.0,0.11974339187145233,0.9937500357627869
3,0.8690476417541504,0.9803571105003357,0.988095223903656,0.059962354600429535,0.9958332777023315,0.9166666865348816,0.9895833134651184,1.0,0.11701519042253494,0.9937500357627869
4,0.9107142686843872,0.9898808598518372,1.0,0.03976776450872421,0.9988094568252563,0.9375,0.9916666150093079,1.0,0.1182839646935463,0.9937500357627869
5,0.8928571343421936,0.9875000715255737,1.0,0.04696517065167427,0.9988094568252563,0.9166666865348816,0.987500011920929,1.0,0.12334714829921722,0.9937500357627869
6,0.9404761791229248,0.991071343421936,1.0,0.029224395751953125,0.9988095164299011,0.9166666865348816,0.987500011920929,1.0,0.12238641828298569,0.9916666150093079
7,0.9226190447807312,0.9886904954910278,1.0,0.04768951237201691,0.9964285492897034,0.9375,0.9895833134651184,1.0,0.11412645876407623,0.9916666150093079
8,0.9285714030265808,0.9857142567634583,1.0,0.04751409962773323,0.9964285492897034,0.9375,0.9895833134651184,1.0,0.11288348585367203,0.9958333373069763
9,0.9166666865348816,0.9863095879554749,1.0,0.05608541890978813,0.9970238208770752,0.9375,0.9895833134651184,1.0,0.11201268434524536,0.9937500357627869
10,0.9345238208770752,0.9886904358863831,0.9940476417541504,0.07731921225786209,0.9958332777023315,0.9375,0.9916666150093079,1.0,0.1100139170885086,0.9937500357627869
11,0.9226190447807312,0.9910714030265808,1.0,0.02787262573838234,0.9994047284126282,0.9375,0.9916666150093079,1.0,0.10753270238637924,0.9937500357627869
12,0.976190447807312,0.99702388048172,1.0,0.013186956755816936,1.0,0.9375,0.9916666150093079,1.0,0.10890457779169083,0.9937500357627869
13,0.9642857313156128,0.9964285492897034,1.0,0.010923702269792557,1.0,0.9375,0.9916666150093079,1.0,0.10964532941579819,0.9937500357627869
14,0.9345238208770752,0.9922620058059692,1.0,0.0242614783346653,0.9994047284126282,0.9375,0.9916666150093079,1.0,0.1059815064072609,0.9958333373069763
15,0.9583333134651184,0.9946427941322327,0.9940476417541504,0.025648167356848717,1.0,0.9375,0.9916666150093079,1.0,0.10573700815439224,0.9958333373069763
16,0.9702380895614624,0.9970238208770752,1.0,0.011026047170162201,1.0,0.9375,0.9916666150093079,1.0,0.10726059973239899,0.9958333373069763
17,0.9166666865348816,0.9898809790611267,1.0,0.041631776839494705,0.997619092464447,0.9375,0.9916666150093079,1.0,0.10726811736822128,0.9958333373069763
18,0.9523809552192688,0.9922620058059692,1.0,0.031633373349905014,0.9970238208770752,0.9375,0.9916666150093079,1.0,0.10568390786647797,0.9958333373069763
19,0.976190447807312,0.9958333373069763,1.0,0.019314702600240707,0.9982143640518188,0.9375,0.9916666150093079,1.0,0.10481156408786774,0.9958333373069763
20,0.9642857313156128,0.9964285492897034,1.0,0.009989296086132526,1.0,0.9375,0.9916666150093079,1.0,0.10519208014011383,0.9958333373069763
21,0.9523809552192688,0.9922618865966797,1.0,0.03209083899855614,0.9994047284126282,0.9375,0.9916666150093079,1.0,0.10560580343008041,0.9958333373069763
22,0.9583333134651184,0.9946427941322327,1.0,0.021590283140540123,0.9982143640518188,0.9375,0.9916666150093079,1.0,0.10654415190219879,0.9958333373069763
23,0.9464285969734192,0.9934523701667786,1.0,0.023228934034705162,0.9994047284126282,0.9375,0.9916666150093079,1.0,0.10755857825279236,0.9958333373069763
24,0.988095223903656,0.9988095164299011,1.0,0.009239747188985348,1.0,0.9375,0.9916666150093079,1.0,0.10674351453781128,0.9958333373069763
25,0.9583333134651184,0.9940476417541504,1.0,0.014858302660286427,1.0,0.9375,0.9916666150093079,1.0,0.10574861615896225,0.9958333373069763
26,0.976190447807312,0.997619092464447,1.0,0.007165997289121151,1.0,0.9375,0.9916666150093079,1.0,0.10438171029090881,0.9958333373069763
27,0.988095223903656,0.9988094568252563,1.0,0.0050257351249456406,1.0,0.9583333134651184,0.9937500357627869,1.0,0.10336057096719742,0.9958333373069763
28,0.9702380895614624,0.9970238208770752,1.0,0.012950194999575615,0.9988094568252563,0.9583333134651184,0.9937500357627869,1.0,0.10267704725265503,0.9958333373069763
29,0.9702380895614624,0.9952380657196045,1.0,0.016573160886764526,1.0,0.9583333134651184,0.9937500357627869,1.0,0.10248284041881561,0.9958333373069763
30,0.976190447807312,0.9964285492897034,1.0,0.012109887786209583,0.9994047284126282,0.9583333134651184,0.9937500357627869,1.0,0.10212861746549606,0.9958333373069763
31,0.9821428656578064,0.9982142448425293,1.0,0.013922900892794132,1.0,0.9583333134651184,0.9937500357627869,1.0,0.10127900540828705,0.9958333373069763
32,0.9702380895614624,0.9928571581840515,0.9940476417541504,0.027294045314192772,0.9958333373069763,0.9583333134651184,0.9937500357627869,1.0,0.10056108236312866,0.9958333373069763
33,0.9523809552192688,0.9940476417541504,1.0,0.012237762100994587,0.9988095164299011,0.9583333134651184,0.9937500357627869,1.0,0.10012835264205933,0.9958333373069763
34,0.976190447807312,0.997619092464447,1.0,0.007818815298378468,1.0,0.9583333134651184,0.9937500357627869,1.0,0.09974940866231918,0.9958333373069763
35,1.0,1.0,1.0,0.0020278526935726404,1.0,0.9583333134651184,0.9937500357627869,1.0,0.09952159970998764,0.9958333373069763
36,0.9821428656578064,0.997619092464447,1.0,0.014438768848776817,0.9988095164299011,0.9583333134651184,0.9937500357627869,1.0,0.09942291676998138,0.9958333373069763
37,0.9821428656578064,0.9982143640518188,1.0,0.007555827964097261,0.9994047284126282,0.9583333134651184,0.9937500357627869,1.0,0.09935516119003296,0.9958333373069763
38,0.9702380895614624,0.9958333373069763,1.0,0.01825208030641079,0.9988095164299011,0.9583333134651184,0.9937500357627869,1.0,0.09938567876815796,0.9958333373069763
39,0.9702380895614624,0.9970238208770752,1.0,0.008591221645474434,1.0,0.9583333134651184,0.9937500357627869,1.0,0.09945198148488998,0.9958333373069763
